id,title,rooms,area_m2,price_tenge,price_per_m2,address,city_date,url,balcony,parking,furnished,ceiling_height
1012982302,3-комнатная квартира · 64.7 м² · 1/9 этаж,3,64.7,16000000,247295,"Алихана Бокейханова р-н, Майкудук, Майкудук, 19й микрорайон 75",Караганда 16 июн.,https://krisha.kz/a/show/1012982302,,,,
1011297263,4-комнатная квартира · 114.5 м² · 9/10 этаж,4,114.5,65000000,567686,"Казыбек би р-н, мкр Юго-Восток, Шахтёров 20/4",Караганда 16 июн.,https://krisha.kz/a/show/1011297263,,,,
1012116043,2-комнатная квартира · 68.5 м² · 9/16 этаж,2,68.5,34000000,496350,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 60 — НИШ",Караганда 16 июн.,https://krisha.kz/a/show/1012116043,лоджия,,,
1007075293,3-комнатная квартира · 58 м² · 1/5 этаж,3,58.0,25500000,439655,"Казыбек би р-н, мкр Новый Город, Комиссарова 32А",Караганда 16 июн.,https://krisha.kz/a/show/1007075293,,,,
1012704977,3-комнатная квартира · 75.5 м² · 2/11 этаж,3,75.5,40000000,529801,"Казыбек би р-н, мкр Юго-Восток, Сарыарка 19 — Шахтеров-Республики",Караганда 16 июн.,https://krisha.kz/a/show/1012704977,,,,
1012707069,2-комнатная квартира · 48.9 м² · 2/2 этаж,2,48.9,19500000,398773,"Казыбек би р-н, мкр Новый Город — Ерубаева",Караганда 16 июн.,https://krisha.kz/a/show/1012707069,,,,
1012481770,3-комнатная квартира · 55.6 м² · 2/5 этаж,3,55.6,23000000,413669,"Казыбек би р-н, мкр Новый Город, проспект Назарбаева 21",Караганда 16 июн.,https://krisha.kz/a/show/1012481770,,,,
1010640583,2-комнатная квартира · 51 м² · 3/12 этаж,2,51.0,28000000,549020,"Алихана Бокейханова р-н, ​067-й учетный квартал участок 502",Караганда 16 июн.,https://krisha.kz/a/show/1010640583,,,,
760166708,4-комнатная квартира · 72.3 м² · 3/3 этаж,4,72.3,29000000,401107,"Казыбек би р-н, мкр Михайловка , 83 квартал 7/1 — Карагандинский университет Казпотребсоюза",Караганда 16 июн.,https://krisha.kz/a/show/760166708,балкон,,,
1010319333,1-комнатная квартира · 40 м² · 5/8 этаж,1,40.0,20500000,512500,"Казыбек би р-н, Муканова 51",Караганда 16 июн.,https://krisha.kz/a/show/1010319333,,,,
1012585351,1-комнатная квартира · 30 м² · 2/5 этаж,1,30.0,11000000,366667,"Казыбек би р-н, мкр Михайловка , Крылова 11",Караганда 16 июн.,https://krisha.kz/a/show/1012585351,,,,2.7 м
1010707835,1-комнатная квартира · 32.1 м² · 2/2 этаж,1,32.1,12500000,389408,"Казыбек би р-н, мкр Михайловка  17/2 — Центральный парк",Караганда 16 июн.,https://krisha.kz/a/show/1010707835,,,,
1006236140,4-комнатная квартира · 143 м² · 6/9 этаж,4,143.0,70500000,493007,"Казыбек би р-н, мкр Юго-Восток, Просп. Республики 40 — Парк Победы",Караганда 16 июн.,https://krisha.kz/a/show/1006236140,,,,
1012749049,4-комнатная квартира · 78 м² · 3/5 этаж,4,78.0,21000000,269231,"Алихана Бокейханова р-н, 1-й квартал, 1-й квартал — Восток 1, ТД Умай",Караганда 16 июн.,https://krisha.kz/a/show/1012749049,балкон,,,
1013154820,2-комнатная квартира · 52 м² · 5/5 этаж,2,52.0,14500000,278846,"Алихана Бокейханова р-н, Пришахтинск, 22й микрорайон 32",Караганда 16 июн.,https://krisha.kz/a/show/1013154820,лоджия,,,
1012878446,3-комнатная квартира · 64 м² · 5/5 этаж,3,64.0,9000000,140625,"Алихана Бокейханова р-н, Майкудук, 14й микрорайон 20",Караганда 16 июн.,https://krisha.kz/a/show/1012878446,,,,
1012509403,1-комнатная квартира · 31 м² · 1/5 этаж,1,31.0,16000000,516129,"Казыбек би р-н, мкр Юго-Восток, Республики 38",Караганда 16 июн.,https://krisha.kz/a/show/1012509403,,,,
1012672277,2-комнатная квартира · 45 м² · 8/12 этаж,2,45.0,27000000,600000,"Казыбек би р-н, ​Улица Карбышева 4/3",Караганда 16 июн.,https://krisha.kz/a/show/1012672277,,,,
1013069686,2-комнатная квартира · 50 м² · 9/9 этаж,2,50.0,15300000,306000,"Алихана Бокейханова р-н, Майкудук, мкр Восток-5 7",Караганда 16 июн.,https://krisha.kz/a/show/1013069686,,,,
1012940474,3-комнатная квартира · 69.5 м² · 3/12 этаж,3,69.5,33300000,479137,"Казыбек би р-н, мкр Юго-Восток, Таттимбета 40/1",Караганда 16 июн.,https://krisha.kz/a/show/1012940474,,,,
1012564977,1-комнатная квартира · 36 м² · 9/9 этаж,1,36.0,13500000,375000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 2 4/3",Караганда 16 июн.,https://krisha.kz/a/show/1012564977,лоджия,,,
1012943566,3-комнатная квартира · 65 м² · 8/9 этаж,3,65.0,28000000,430769,"Казыбек би р-н, мкр Новый Город пр.Нуркена Абдирова 19",Караганда 16 июн.,https://krisha.kz/a/show/1012943566,балкон и лоджия,,,
1011707370,3-комнатная квартира · 75.4 м² · 3/9 этаж,3,75.4,23900000,316976,"Казыбек би р-н, мкр Юго-Восток, Язева 10",Караганда 16 июн.,https://krisha.kz/a/show/1011707370,,,,
1007167252,3-комнатная квартира · 73 м² · 6/9 этаж,3,73.0,29900000,409589,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, 30й микрорайон 8 — Муканова",Караганда 16 июн.,https://krisha.kz/a/show/1007167252,балкон,,,
1012814642,3-комнатная квартира · 80 м² · 7/10 этаж,3,80.0,48000000,600000,"Казыбек би р-н, мкр Юго-Восток, микрорайон Байкена Ашимова 21",Караганда 16 июн.,https://krisha.kz/a/show/1012814642,,,,
1012758258,4-комнатная квартира · 105 м² · 5/10 этаж,4,105.0,78000000,742857,"Казыбек би р-н, мкр Юго-Восток, мкр Степной 3 1/10",Караганда 16 июн.,https://krisha.kz/a/show/1012758258,балкон,,,
1010496273,2-комнатная квартира · 48 м² · 5/9 этаж,2,48.0,16000000,333333,"Алихана Бокейханова р-н, Майкудук, Мкр Восток-1 2",Караганда 16 июн.,https://krisha.kz/a/show/1010496273,,,,
762149906,2-комнатная квартира · 54 м² · 3/9 этаж,2,54.0,19900000,368519,"Казыбек би р-н, мкр Юго-Восток, Гапеева 8 — Муканова Рыскулова Гапеева",Караганда 16 июн.,https://krisha.kz/a/show/762149906,балкон,,,
762112046,4-комнатная квартира · 142 м² · 3/5 этаж,4,142.0,99000000,697183,"Казыбек би р-н, Гоголя 56/1",Караганда 16 июн.,https://krisha.kz/a/show/762112046,,,,
1006764966,3-комнатная квартира · 99 м² · 10/10 этаж,3,99.0,57000000,575758,"Казыбек би р-н, мкр Юго-Восток, Микрорайон Байкена Ашимова 21",Караганда 16 июн.,https://krisha.kz/a/show/1006764966,,,,
1003314862,4-комнатная квартира · 84 м² · 3/6 этаж,4,84.0,35280000,420000,"Казыбек би р-н, мкр Юго-Восток, Рыскулова 5/3",Караганда 16 июн.,https://krisha.kz/a/show/1003314862,балкон и лоджия,,,
1012477266,1-комнатная квартира · 48 м² · 11/20 этаж,1,48.0,23000000,479167,"Казыбек би р-н, мкр Юго-Восток, Уч квартал 100",Караганда 16 июн.,https://krisha.kz/a/show/1012477266,балкон,паркинг,,
1009036552,1-комнатная квартира · 33 м² · 2/5 этаж,1,33.0,25000000,757576,"Казыбек би р-н, мкр Новый Город, Бухар Жырау — Бухар Жырау",Караганда 16 июн.,https://krisha.kz/a/show/1009036552,,,,
1008503329,3-комнатная квартира · 106 м²,3,106.0,50000000,471698,"Казыбек би р-н, мкр Новый Город, Назарбаева 48 — Напротив Политехнического университета",Караганда 16 июн.,https://krisha.kz/a/show/1008503329,несколько балконов или лоджий,,,
1012994370,2-комнатная квартира · 70 м² · 1/9 этаж,2,70.0,34999999,500000,"Казыбек би р-н, мкр Юго-Восток, Мкр-он Орбита 1 17/2",Караганда 16 июн.,https://krisha.kz/a/show/1012994370,,,,
1006740259,1-комнатная квартира · 14 м² · 2/5 этаж,1,14.0,4800000,342857,"Казыбек би р-н, мкр Михайловка , Анжерская 31 — Ермекова",Караганда 16 июн.,https://krisha.kz/a/show/1006740259,,рядом охраняемая стоянка,,
1012097465,3-комнатная квартира · 108.7 м² · 4/4 этаж,3,108.7,51990000,478289,"Казыбек би р-н, мкр Новый Город, Жамбыла — В районе Политехнического института",Караганда 16 июн.,https://krisha.kz/a/show/1012097465,,,,
1005402104,4-комнатная квартира · 81.5 м² · 2/5 этаж,4,81.5,22900000,280982,"Казыбек би р-н, Керамическая 78А",Караганда 16 июн.,https://krisha.kz/a/show/1005402104,балкон,,,
1011517036,4-комнатная квартира · 80 м² · 6/9 этаж,4,80.0,33500000,418750,"Казыбек би р-н, мкр Юго-Восток, Мкр Орбита 17",Караганда 16 июн.,https://krisha.kz/a/show/1011517036,балкон,,,
1008105548,2-комнатная квартира · 40 м² · 1/5 этаж,2,40.0,28000000,700000,"Казыбек би р-н, мкр Юго-Восток, Муканова 51/2",Караганда 16 июн.,https://krisha.kz/a/show/1008105548,,паркинг,,
1009514933,3-комнатная квартира · 65.7 м² · 2/9 этаж,3,65.7,27500000,418569,"Казыбек би р-н, мкр Юго-Восток, Карбышева 5 — КарГУ",Караганда 16 июн.,https://krisha.kz/a/show/1009514933,,,,
1000982485,3-комнатная квартира · 93 м² · 8/16 этаж,3,93.0,38000000,408602,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 60 — Старая корзина, НИШ",Караганда 16 июн.,https://krisha.kz/a/show/1000982485,,,,2.7 м
1006362926,2-комнатная квартира · 48 м² · 3/5 этаж,2,48.0,13000000,270833,"Алихана Бокейханова р-н, Пришахтинск, 21й микрорайон 30",Караганда 16 июн.,https://krisha.kz/a/show/1006362926,балкон,,,
1012200334,2-комнатная квартира · 69 м² · 5/25 этаж,2,69.0,24000000,347826,"Казыбек би р-н, Микрорайон Байкена Ашимова 26",Караганда 16 июн.,https://krisha.kz/a/show/1012200334,,,,
1011172928,2-комнатная квартира · 65 м² · 2/5 этаж,2,65.0,33000000,507692,"Казыбек би р-н, мкр Юго-Восток, Муканова 51/8",Караганда 16 июн.,https://krisha.kz/a/show/1011172928,,,,
1011696335,1-комнатная квартира · 38.6 м² · 3/6 этаж,1,38.6,17000000,440415,"Алихана Бокейханова р-н, ​067-й учетный квартал 2",Караганда 16 июн.,https://krisha.kz/a/show/1011696335,,,,
1012880254,1-комнатная квартира · 33 м² · 1/3 этаж,1,33.0,14800000,448485,"Казыбек би р-н, мкр Юго-Восток, Алтын Арка 17",Караганда 16 июн.,https://krisha.kz/a/show/1012880254,,,,
687295402,2-комнатная квартира · 65.2 м² · 5/6 этаж,2,65.2,29500000,452454,"Казыбек би р-н, Муканова 1/9 — 1-й блок",Караганда 16 июн.,https://krisha.kz/a/show/687295402,,,,
696067815,4-комнатная квартира · 72 м² · 3/9 этаж,4,72.0,28000000,388889,"Казыбек би р-н, мкр Юго-Восток, Гапеева 1 — Тбц",Караганда 16 июн.,https://krisha.kz/a/show/696067815,,,,
1012648245,3-комнатная квартира · 62 м² · 3/5 этаж,3,62.0,23000000,370968,"Казыбек би р-н, мкр Юго-Восток, муканова — супермаркет Южный,Гульжан",Караганда 16 июн.,https://krisha.kz/a/show/1012648245,балкон,,,
695758396,4-комнатная квартира · 105.2 м² · 6/9 этаж,4,105.2,79500000,755703,"Казыбек би р-н, Таттимбета 3/14 — Гульдер 1",Караганда 16 июн.,https://krisha.kz/a/show/695758396,,,,
1012616378,1-комнатная квартира · 36 м² · 3/9 этаж,1,36.0,13800000,383333,"Казыбек би р-н, мкр Юго-Восток, Республики 32",Караганда 16 июн.,https://krisha.kz/a/show/1012616378,лоджия,,,
1010741709,3-комнатная квартира · 75.3 м² · 7/17 этаж,3,75.3,22000000,292165,"Казыбек би р-н, мкр Юго-Восток, Камали дуйсембекова 44/2",Караганда 16 июн.,https://krisha.kz/a/show/1010741709,,,,
1001083128,2-комнатная квартира · 62 м² · 1/10 этаж,2,62.0,34000000,548387,"Казыбек би р-н, мкр Юго-Восток, Мкр.Степной 3 1/4",Караганда 16 июн.,https://krisha.kz/a/show/1001083128,,,,
1008837543,3-комнатная квартира · 63.3 м² · 5/9 этаж,3,63.3,21000000,331754,"Казыбек би р-н, мкр Юго-Восток, Карбышева 5",Караганда 16 июн.,https://krisha.kz/a/show/1008837543,,,,
1012992519,2-комнатная квартира · 68.1 м² · 4/5 этаж,2,68.1,24500000,359765,"Казыбек би р-н, мкр Юго-Восток, Проспект Республики 49",Караганда 16 июн.,https://krisha.kz/a/show/1012992519,,,,
1011297027,2-комнатная квартира · 45.4 м² · 4/5 этаж,2,45.4,18000000,396476,"Казыбек би р-н, мкр Новый Город, Ержанова 41",Караганда 16 июн.,https://krisha.kz/a/show/1011297027,,,,
1012703668,2-комнатная квартира · 46 м² · 4/5 этаж,2,46.0,18800000,408696,"Казыбек би р-н, мкр Новый Город, Нуркена Абдирова 17 — Мечта, 1000 мелочей",Караганда 16 июн.,https://krisha.kz/a/show/1012703668,,,,
1010521042,2-комнатная квартира · 48 м² · 3/5 этаж,2,48.0,16500000,343750,"Казыбек би р-н, мкр Юго-Восток, Муканова 26",Караганда 16 июн.,https://krisha.kz/a/show/1010521042,,,,2.5 м
1002874161,3-комнатная квартира · 62.4 м² · 3/5 этаж,3,62.4,23970000,384135,"Казыбек би р-н, мкр Юго-Восток, Рыскулова 7",Караганда 16 июн.,https://krisha.kz/a/show/1002874161,,,,
1007715786,3-комнатная квартира · 83 м² · 10/10 этаж,3,83.0,26000000,313253,"Казыбек би р-н, мкр Новый Город, Ермекова 106/6 — Березка, супер маркет Аян",Караганда 16 июн.,https://krisha.kz/a/show/1007715786,,,,
1012767966,3-комнатная квартира · 80 м² · 4/4 этаж,3,80.0,68000000,850000,"Казыбек би р-н, мкр Новый Город, Назарбаева 26",Караганда 16 июн.,https://krisha.kz/a/show/1012767966,лоджия,,,
1013082349,2-комнатная квартира · 47 м² · 1/5 этаж,2,47.0,22000000,468085,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон 19/4",Караганда 16 июн.,https://krisha.kz/a/show/1013082349,балкон,,,
1011650134,3-комнатная квартира · 77 м² · 15/17 этаж,3,77.0,45300000,588312,"Казыбек би р-н, мкр Юго-Восток, Букетова 3/2 — Ашимова",Караганда 16 июн.,https://krisha.kz/a/show/1011650134,,,,
1012664017,2-комнатная квартира · 54 м² · 4/5 этаж,2,54.0,20000000,370370,"Казыбек би р-н, мкр Юго-Восток, Мкр Гульдер 2 17",Караганда 16 июн.,https://krisha.kz/a/show/1012664017,балкон,,,
1011938019,3-комнатная квартира · 57 м² · 4/5 этаж,3,57.0,20000000,350877,"Казыбек би р-н, мкр Фёдоровка , Мкр-н Заводской 2 — Микрорайон Заводской",Караганда 16 июн.,https://krisha.kz/a/show/1011938019,,,,
760995848,3-комнатная квартира · 70 м² · 2/5 этаж,3,70.0,35700000,510000,"Казыбек би р-н, мкр Юго-Восток, Сатыбалдина 4/1",Караганда 16 июн.,https://krisha.kz/a/show/760995848,,,,
761729899,3-комнатная квартира · 110 м² · 3/5 этаж,3,110.0,61000000,554545,"Казыбек би р-н, Крылова 43",Караганда 16 июн.,https://krisha.kz/a/show/761729899,,,,
1011123345,3-комнатная квартира · 75.7 м² · 3/5 этаж,3,75.7,28900000,381770,"Казыбек би р-н, мкр Новый Город, Гоголя 41 — Боулинг «Арман»",Караганда 16 июн.,https://krisha.kz/a/show/1011123345,,,,
1012378336,1-комнатная квартира · 37.4 м² · 5/9 этаж,1,37.4,20300000,542781,Букетова 50/3,Караганда 16 июн.,https://krisha.kz/a/show/1012378336,,,,
1012066579,2-комнатная квартира · 45 м² · 2/5 этаж,2,45.0,15000000,333333,Мкр. Восток-1 10,Караганда 16 июн.,https://krisha.kz/a/show/1012066579,,,,
1011717086,3-комнатная квартира · 67 м² · 4/9 этаж,3,67.0,25000000,373134,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон 1 — Гапеева 1",Караганда 16 июн.,https://krisha.kz/a/show/1011717086,,,,
1012824858,3-комнатная квартира · 91 м² · 9/17 этаж,3,91.0,68000000,747253,"Казыбек би р-н, мкр Юго-Восток, Республики 23",Караганда 16 июн.,https://krisha.kz/a/show/1012824858,,,,
1000297181,4-комнатная квартира · 90 м² · 11/20 этаж,4,90.0,40000000,444444,"Казыбек би р-н, мкр Юго-Восток, Дюсембекова 44/2",Караганда 16 июн.,https://krisha.kz/a/show/1000297181,,,,
1010918756,2-комнатная квартира · 52 м² · 5/5 этаж,2,52.0,19000000,365385,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 1 6/40",Караганда 16 июн.,https://krisha.kz/a/show/1010918756,,,,
1011694833,3-комнатная квартира · 111.1 м² · 3/5 этаж,3,111.1,48000000,432043,"Казыбек би р-н, мкр Юго-Восток, Республики 49/1",Караганда 16 июн.,https://krisha.kz/a/show/1011694833,,,,
1008763828,2-комнатная квартира · 60 м² · 1/10 этаж,2,60.0,13500000,225000,"Алихана Бокейханова р-н, Майкудук, Майқұдық, Белинского 2",Караганда 16 июн.,https://krisha.kz/a/show/1008763828,балкон,,,
762272826,1-комнатная квартира · 30.8 м² · 5/5 этаж,1,30.8,15000000,487013,"Казыбек би р-н, мкр Новый Город, Лободы 31",Караганда 16 июн.,https://krisha.kz/a/show/762272826,балкон,,,
1012786817,4-комнатная квартира · 79 м² · 7/9 этаж,4,79.0,29000000,367089,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, 27й микрорайон 4 — Возле университета",Караганда 16 июн.,https://krisha.kz/a/show/1012786817,балкон,,,
1012267145,3-комнатная квартира · 70 м² · 4/4 этаж,3,70.0,24200000,345714,"Казыбек би р-н, мкр Новый Город, Абая 45 — Абая- Гоголя",Караганда 16 июн.,https://krisha.kz/a/show/1012267145,,,,
1012912699,2-комнатная квартира · 54 м² · 7/9 этаж,2,54.0,16900000,312963,"Алихана Бокейханова р-н, Голубые Пруды 5/2",Караганда 16 июн.,https://krisha.kz/a/show/1012912699,,,,
1009037962,2-комнатная квартира · 48 м² · 3/5 этаж,2,48.0,17400000,362500,"Казыбек би р-н, мкр Юго-Восток, Университетская 15",Караганда 16 июн.,https://krisha.kz/a/show/1009037962,балкон,,,
1012464890,3-комнатная квартира · 72.3 м² · 4/4 этаж,3,72.3,55000000,760719,"Казыбек би р-н, пр.Бухар жырау 46",Караганда 16 июн.,https://krisha.kz/a/show/1012464890,,,,3.2 м
1010557043,5-комнатная квартира · 86.9 м² · 4/5 этаж,5,86.9,30000000,345224,"Казыбек би р-н, мкр Юго-Восток, Дюсембекова 35",Караганда 16 июн.,https://krisha.kz/a/show/1010557043,,,,2.5 м
698846952,4-комнатная квартира · 83.1 м² · 9/9 этаж,4,83.1,24500000,294826,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 3 8 — Супермаркет Норма, НИШ, турист, крал",Караганда 16 июн.,https://krisha.kz/a/show/698846952,,,,
1013034456,2-комнатная квартира · 44.2 м² · 3/5 этаж,2,44.2,23000000,520362,"Казыбек би р-н, мкр Новый Город, Ул. Алиханова 38/2 — Дом таксистов, Боулинг",Караганда 16 июн.,https://krisha.kz/a/show/1013034456,,,,
1009679441,1-комнатная квартира · 31 м² · 8/9 этаж,1,31.0,11000000,354839,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, 28й микрорайон Пр Строителей.",Караганда 16 июн.,https://krisha.kz/a/show/1009679441,,,,2.5 м
1010679746,3-комнатная квартира · 80 м² · 4/9 этаж,3,80.0,41000000,512500,"Казыбек би р-н, мкр Юго-Восток, 137-учетный квартал 343 — Возле Метро, напротив ЖК Байсанат, рядом с центром бокса им.Серика Сапиева",Караганда 16 июн.,https://krisha.kz/a/show/1010679746,,,,
1007012324,2-комнатная квартира · 42.2 м² · 3/5 этаж,2,42.2,15100000,357820,"Казыбек би р-н, мкр Новый Город, Нуркена Абдирова 44/1",Караганда 16 июн.,https://krisha.kz/a/show/1007012324,,,,
1013129109,3-комнатная квартира · 75 м² · 2/3 этаж,3,75.0,24500000,326667,"Казыбек би р-н, Жамбыла 7",Караганда 16 июн.,https://krisha.kz/a/show/1013129109,,,,
1010340744,2-комнатная квартира · 60 м² · 8/9 этаж,2,60.0,28800000,480000,"Казыбек би р-н, мкр Юго-Восток, Муканова 86 — Напротив школы",Караганда 16 июн.,https://krisha.kz/a/show/1010340744,,,,
1009884341,4-комнатная квартира · 147.2 м² · 2/5 этаж,4,147.2,55000000,373641,"Казыбек би р-н, мкр Юго-Восток, Республики 49/1",Караганда 16 июн.,https://krisha.kz/a/show/1009884341,,,,
1012693071,2-комнатная квартира · 40 м² · 5/6 этаж,2,40.0,9000000,225000,"Алихана Бокейханова р-н, Пришахтинск, 21й микрорайон 27",Караганда 16 июн.,https://krisha.kz/a/show/1012693071,,,,
1011266409,2-комнатная квартира · 47.5 м² · 9/9 этаж,2,47.5,21000000,442105,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, пр Республики 32",Караганда 16 июн.,https://krisha.kz/a/show/1011266409,,,,
680768058,3-комнатная квартира · 63.7 м² · 8/9 этаж,3,63.7,30000000,470958,"Казыбек би р-н, Мкр Степной-2 9",Караганда 16 июн.,https://krisha.kz/a/show/680768058,балкон,,,
1012324369,2-комнатная квартира · 42.6 м² · 5/5 этаж,2,42.6,10700000,251174,Мкр. Восток-2 14,Караганда 16 июн.,https://krisha.kz/a/show/1012324369,,,,
1013094090,2-комнатная квартира · 47 м² · 5/5 этаж,2,47.0,9650000,205319,"Алихана Бокейханова р-н, Майкудук, Майкудук, 13й микрорайон 9 — Автостанция",Караганда 16 июн.,https://krisha.kz/a/show/1013094090,балкон,,,
1011815796,1-комнатная квартира · 53 м² · 1/6 этаж,1,53.0,17800000,335849,"Алихана Бокейханова р-н, ​067-й учетный квартал 464/11",Караганда 16 июн.,https://krisha.kz/a/show/1011815796,балкон,,,
687864574,2-комнатная квартира · 48 м² · 4/5 этаж,2,48.0,13500000,281250,"Алихана Бокейханова р-н, 22 микрорайон 22",Караганда 16 июн.,https://krisha.kz/a/show/687864574,,,,
1011570466,3-комнатная квартира · 63.9 м² · 9/9 этаж,3,63.9,18000000,281690,"Алихана Бокейханова р-н, Майкудук 3 — ул. Сталелитейная",Караганда 16 июн.,https://krisha.kz/a/show/1011570466,,,,
